002289,1847.0000000000,100
0.0000000000,14.7600002289,1835.0000000000,100
36.0000610352,14.9400005341,1832.0000000000,100
0.0000000000,14.9400005341,1835.0000000000,100
0.0000000000,14.9400005341,1830.0000000000,100
0.0000000000,14.9400005341,1828.0000000000,100
0.0000000000,14.9400005341,1844.0000000000,100
0.0000000000,14.9400005341,1841.0000000000,100
0.0000000000,14.9400005341,1836.0000000000,100
0.0000000000,14.9400005341,1841.0000000000,100
0.0000000000,14.9400005341,1831.0000000000,100
0.0000000000,14.9400005341,1843.0000000000,100
0.0000000000,14.9400005341,1833.0000000000,100
0.0000000000,14.9400005341,1838.0000000000,100
0.0000000000,14.9400005341,1840.0000000000,100
0.0000000000,14.9400005341,1839.0000000000,100
0.0000000000,14.9400005341,1844.0000000000,100
0.0000000000,14.9400005341,1834.0000000000,100
0.0000000000,14.9400005341,1838.0000000000,100
0.0000000000,14.9400005341,1828.0000000000,100
0.0000000000,14.9400005341,1827.0000000000,100
0.0000000000,14.9400005341,1837.0000000000,100
0.0000000000,14.9400005341,1853.0000000000,100
0.0000000000,14.9400005341,1821.0000000000,100
0.0000000000,14.9400005341,1841.0000000000,100
0.0000000000,14.9400005341,1839.0000000000,100
-36.0000610352,14.7600002289,1843.0000000000,100
0.0000000000,14.7600002289,1825.0000000000,100
0.0000000000,14.7600002289,1835.0000000000,100
0.0000000000,14.7600002289,1844.0000000000,100
0.0000000000,14.7600002289,1835.0000000000,100
0.0000000000,14.7600002289,1846.0000000000,100
0.0000000000,14.7600002289,1834.0000000000,100
0.0000000000,14.7600002289,1840.0000000000,100
0.0000000000,14.7600002289,1833.0000000000,100
0.0000000000,14.7600002289,1861.0000000000,100
0.0000000000,14.7600002289,1834.0000000000,100
-35.9998703003,14.5800008774,1844.0000000000,100
0.0000000000,14.5800008774,1835.0000000000,100
0.0000000000,14.5800008774,1842.0000000000,100
0.0000000000,14.5800008774,1831.0000000000,100
0.0000000000,14.5800008774,1852.0000000000,100
0.0000000000,14.5800008774,1836.0000000000,100
0.0000000000,14.5800008774,1844.0000000000,100
0.0000000000,14.5800008774,1835.0000000000,100
-36.0000610352,14.4000005722,1840.0000000000,100
0.0000000000,14.4000005722,1840.0000000000,100
0.0000000000,14.4000005722,1839.0000000000,100
0.0000000000,14.4000005722,1852.0000000000,100
0.0000000000,14.4000005722,1838.0000000000,100
0.0000000000,14.4000005722,1840.0000000000,100
0.0000000000,14.4000005722,1838.0000000000,100
0.0000000000,14.4000005722,1831.0000000000,100
-36.0000610352,14.2200002670,1846.0000000000,100
0.0000000000,14.2200002670,1839.0000000000,100
0.0000000000,14.2200002670,1838.0000000000,100
0.0000000000,14.2200002670,1833.0000000000,100
0.0000000000,14.2200002670,1839.0000000000,100
0.0000000000,14.2200002670,1839.0000000000,100
0.0000000000,14.2200002670,1834.0000000000,100
-35.9998703003,14.0400009155,1834.0000000000,100
0.0000000000,14.0400009155,1848.0000000000,100
0.0000000000,14.0400009155,1829.0000000000,100
0.0000000000,14.0400009155,1842.0000000000,100
0.0000000000,14.0400009155,1831.0000000000,100
0.0000000000,14.0400009155,1834.0000000000,100
0.0000000000,14.0400009155,1841.0000000000,100
0.0000000000,14.0400009155,1841.0000000000,100
0.0000000000,14.0400009155,1842.0000000000,100
